job_type_code,job_subtype_code,job_type,job_subtype,num_jobs_male,median_male,num_jobs_female,median_female,num_jobs,proportion_female,pay_gap
,,,,,,,,746,20.77747989,3595
,,,,,,,,801,4.244694132,5285
,,,,,,,,356,26.96629213,6006
,,,,,,,,2605,51.70825336,3864
,,,,,,,,2161,32.39241092,3606
,,,,,,,,436,47.47706422,3595
,,,,,,,,1284,19.1588785,3606
,,,,,,,,1504,76.13031915,3606
,,,,,,,,1467,64.55351057,5511
,,,,,,,,1407,41.64889837,5479
,,,,,,,,693,24.67532468,6577
,,,,,,,,341,70.96774194,3380
,,,,,,,,409,27.1393643,7836
,,,,,,,,238,41.59663866,3617
,,,,,,,,2166,47.64542936,6157
,,,,,,,,2458,70.99267697,2207
,,,,,,,,629,90.77901431,3606
,,,,,,,,109,9.174311927,5511
,,,,,,,,1007,2.979145978,5522
,,,,,,,,311,1.92926045,2616
,,,,,,,,505,33.66336634,5522
,,,,,,,,2050,85.31707317,6663
,,,,,,,,441,62.13151927,3606
,,,,,,,,1549,62.68560362,3520
,,,,,,,,570,59.64912281,8805
,,,,,,,,746,20.77747989,1787
,,,,,,,,801,4.244694132,1830
,,,,,,,,356,26.96629213,7190
,,,,,,,,2605,51.70825336,5673
,,,,,,,,2161,32.39241092,3606
,,,,,,,,436,47.47706422,3617
,,,,,,,,1284,19.1588785,7330
,,,,,,,,1504,76.13031915,5952
,,,,,,,,1467,64.55351057,3606
,,,,,,,,1407,41.64889837,3638
,,,,,,,,693,24.67532468,6609
,,,,,,,,341,70.96774194,8740
,,,,,,,,409,27.1393643,4155
,,,,,,,,238,41.59663866,3606
,,,,,,,,2166,47.64542936,6092
,,,,,,,,2458,70.99267697,4758
,,,,,,,,629,90.77901431,4392
,,,,,,,,109,9.174311927,10495
,,,,,,,,1007,2.979145978,4327
,,,,,,,,311,1.92926045,6017
,,,,,,,,505,33.66336634,5511
,,,,,,,,2050,85.31707317,6125
,,,,,,,,441,62.13151927,3606
,,,,,,,,1549,62.68560362,5974
,,,,,,,,570,59.64912281,6717
,,,,,,,,746,20.77747989,6071
,,,,,,,,801,4.244694132,6168
,,,,,,,,356,26.96629213,3681
,,,,,,,,2605,51.70825336,5963
,,,,,,,,2161,32.39241092,8159
,,,,,,,,436,47.47706422,6146
,,,,,,,,1284,19.1588785,6135
,,,,,,,,1504,76.13031915,5511
,,,,,,,,1467,64.55351057,4445
,,,,,,,,1407,41.64889837,1389
,,,,,,,,693,24.67532468,6017
,,,,,,,,341,70.96774194,1668
,,,,,,,,409,27.1393643,3907
,,,,,,,,238,41.59663866,4123
,,,,,,,,2166,47.64542936,3606
,,,,,,,,2458,70.99267697,3821
,,,,,,,,629,90.77901431,3326
,,,,,,,,109,9.174311927,3789
,,,,,,,,1007,2.979145978,6006
,,,,,,,,311,1.92926045,6006
,,,,,,,,505,33.66336634,6232
,,,,,,,,2050,85.31707317,9763
,,,,,,,,441,62.13151927,3821
,,,,,,,,1549,62.68560362,6017
,,,,,,,,570,59.64912281,3606
,,,,,,,,746,20.77747989,4478
,,,,,,,,801,4.244694132,3714
,,,,,,,,356,26.96629213,3714
,,,,,,,,2605,51.70825336,6006
,,,,,,,,2161,32.39241092,6049
,,,,,,,,436,47.47706422,6039
,,,,,,,,1284,19.1588785,1744
,,,,,,,,1504,76.13031915,1744
,,,,,,,,1467,64.55351057,6006
,,,,,,,,1407,41.64889837,4187
,,,,,,,,693,24.67532468,6878
,,,,,,,,341,70.96774194,3606
,,,,,,,,409,27.1393643,3606
,,,,,,,,238,41.59663866,6017
,,,,,,,,2166,47.64542936,3606
,,,,,,,,2458,70.99267697,6017
,,,,,,,,629,90.77901431,10247
,,,,,,,,109,9.174311927,6426
,,,,,,,,1007,2.979145978,12195
,,,,,,,,311,1.92926045,3692
,,,,,,,,505,33.66336634,8439
,,,,,,,,2050,85.31707317,3746
,,,,,,,,441,62.13151927,4155
,,,,,,,,1549,62.68560362,6017
,,,,,,,,570,59.64912281,3617
,,,,,,,,746,20.77747989,5920
,,,,,,,,801,4.244694132,3660
,,,,,,,,356,26.96629213,10226
,,,,,,,,2605,51.70825336,5511
,,,,,,,,2161,32.39241092,5511
,,,,,,,,436,47.47706422,6297
,,,,,,,,1284,19.1588785,5791
,,,,,,,,1504,76.13031915,5511
,,,,,,,,1467,64.55351057,3681
,,,,,,,,1407,41.64889837,5920
,,,,,,,,693,24.67532468,5920
,,,,,,,,341,70.96774194,5199
,,,,,,,,409,27.1393643,4779
,,,,,,,,238,41.59663866,3606
,,,,,,,,2166,47.64542936,2551
,,,,,,,,2458,70.99267697,5673
,,,,,,,,629,90.77901431,5856
,,,,,,,,109,9.174311927,5856
,,,,,,,,1007,2.979145978,9322
,,,,,,,,311,1.92926045,9322
,,,,,,,,505,33.66336634,3595
,,,,,,,,2050,85.31707317,1927
,,,,,,,,441,62.13151927,3681
,,,,,,,,1549,62.68560362,3541
,,,,,,,,570,59.64912281,4176
,,,,,,,,746,20.77747989,3627
,,,,,,,,801,4.244694132,2239
,,,,,,,,356,26.96629213,2551
,,,,,,,,2605,51.70825336,5038
,,,,,,,,2161,32.39241092,6006
,,,,,,,,436,47.47706422,7890
,,,,,,,,1284,19.1588785,3595
,,,,,,,,1504,76.13031915,3929
,,,,,,,,1467,64.55351057,3046
,,,,,,,,1407,41.64889837,8643
,,,,,,,,693,24.67532468,8643
,,,,,,,,341,70.96774194,6189
,,,,,,,,409,27.1393643,6695
,,,,,,,,238,41.59663866,5038
,,,,,,,,2166,47.64542936,9698
,,,,,,,,2458,70.99267697,2551
,,,,,,,,629,90.77901431,1625
,,,,,,,,109,9.174311927,6103
,,,,,,,,1007,2.979145978,3498
,,,,,,,,311,1.92926045,3606
,,,,,,,,505,33.66336634,4510
,,,,,,,,2050,85.31707317,4510
,,,,,,,,441,62.13151927,6125
,,,,,,,,1549,62.68560362,3434
,,,,,,,,570,59.64912281,1496
,,,,,,,,746,20.77747989,2648
,,,,,,,,801,4.244694132,6006
,,,,,,,,356,26.96629213,5543
,,,,,,,,2605,51.70825336,3305
,,,,,,,,2161,32.39241092,3305
,,,,,,,,436,47.47706422,3305
,,,,,,,,1284,19.1588785,3305
,,,,,,,,1504,76.13031915,4209
,,,,,,,,1467,64.55351057,1927
,,,,,,,,1407,41.64889837,5813
,,,,,,,,693,24.67532468,27416
,,,,,,,,341,70.96774194,6254
,,,,,,,,409,27.1393643,4316
,,,,,,,,238,41.59663866,3595
,,,,,,,,2166,47.64542936,3918
,,,,,,,,2458,70.99267697,6028
,,,,,,,,629,90.77901431,2648
,,,,,,,,109,9.174311927,12013
,,,,,,,,1007,2.979145978,9709
,,,,,,,,311,1.92926045,9655
,,,,,,,,505,33.66336634,5414
,,,,,,,,2050,85.31707317,4230
,,,,,,,,441,62.13151927,8051
,,,,,,,,1549,62.68560362,3337
,,,,,,,,570,59.64912281,5974
,,,,,,,,746,20.77747989,2648
,,,,,,,,801,4.244694132,7363
,,,,,,,,356,26.96629213,3509
,,,,,,,,2605,51.70825336,6146
,,,,,,,,2161,32.39241092,1281
,,,,,,,,436,47.47706422,6943
,,,,,,,,1284,19.1588785,6631
,,,,,,,,1504,76.13031915,6017
,,,,,,,,1467,64.55351057,3272
,,,,,,,,1407,41.64889837,3757
,,,,,,,,693,24.67532468,1668
,,,,,,,,341,70.96774194,1927
,,,,,,,,409,27.1393643,3681
,,,,,,,,238,41.59663866,6534
,,,,,,,,2166,47.64542936,3606
,,,,,,,,2458,70.99267697,3272
,,,,,,,,629,90.77901431,3627
,,,,,,,,109,9.174311927,6394
,,,,,,,,1007,2.979145978,1927
,,,,,,,,311,1.92926045,7513
,,,,,,,,505,33.66336634,3617
,,,,,,,,2050,85.31707317,5866
,,,,,,,,441,62.13151927,3606
,,,,,,,,1549,62.68560362,6372
,,,,,,,,570,59.64912281,3509
,,,,,,,,746,20.77747989,3757
,,,,,,,,801,4.244694132,4015
,,,,,,,,356,26.96629213,5845
,,,,,,,,2605,51.70825336,5543
,,,,,,,,2161,32.39241092,5533
,,,,,,,,436,47.47706422,3983
,,,,,,,,1284,19.1588785,3627
,,,,,,,,1504,76.13031915,6609
,,,,,,,,1467,64.55351057,3875
,,,,,,,,1407,41.64889837,3617
,,,,,,,,693,24.67532468,3617
,,,,,,,,341,70.96774194,3617
,,,,,,,,409,27.1393643,5630
,,,,,,,,238,41.59663866,6308
,,,,,,,,2166,47.64542936,5780
,,,,,,,,2458,70.99267697,6770
,,,,,,,,629,90.77901431,5511
,,,,,,,,109,9.174311927,12755
,,,,,,,,1007,2.979145978,12755
,,,,,,,,311,1.92926045,3617
,,,,,,,,505,33.66336634,3757
,,,,,,,,2050,85.31707317,3584
,,,,,,,,441,62.13151927,5759
,,,,,,,,1549,62.68560362,4327
,,,,,,,,570,59.64912281,7707
,,,,,,,,746,20.77747989,7728
,,,,,,,,801,4.244694132,6006
,,,,,,,,356,26.96629213,4359
,,,,,,,,2605,51.70825336,6092
,,,,,,,,2161,32.39241092,2616
,,,,,,,,436,47.47706422,6049
,,,,,,,,1284,19.1588785,3649
,,,,,,,,1504,76.13031915,3660
,,,,,,,,1467,64.55351057,4392
,,,,,,,,1407,41.64889837,3757
,,,,,,,,693,24.67532468,3897
,,,,,,,,341,70.96774194,1389
,,,,,,,,409,27.1393643,4499
,,,,,,,,238,41.59663866,4047
,,,,,,,,2166,47.64542936,3606
,,,,,,,,2458,70.99267697,4445
,,,,,,,,629,90.77901431,6243
,,,,,,,,109,9.174311927,5651
,,,,,,,,1007,2.979145978,3918
,,,,,,,,311,1.92926045,5511
,,,,,,,,505,33.66336634,6071
,,,,,,,,2050,85.31707317,6125
,,,,,,,,441,62.13151927,3767
,,,,,,,,1549,62.68560362,4209
,,,,,,,,570,59.64912281,3757
,,,,,,,,746,20.77747989,3875
,,,,,,,,801,4.244694132,5199
,,,,,,,,356,26.96629213,5780
,,,,,,,,2605,51.70825336,6006
,,,,,,,,2161,32.39241092,3391
,,,,,,,,436,47.47706422,1281
,,,,,,,,1284,19.1588785,5511
,,,,,,,,1504,76.13031915,6006
,,,,,,,,1467,64.55351057,8902
,,,,,,,,1407,41.64889837,8826
,,,,,,,,693,24.67532468,6017
,,,,,,,,341,70.96774194,3595
,,,,,,,,409,27.1393643,6060
,,,,,,,,238,41.59663866,1636
,,,,,,,,2166,47.64542936,3746
,,,,,,,,2458,70.99267697,9505
,,,,,,,,629,90.77901431,3606
,,,,,,,,109,9.174311927,5597
,,,,,,,,1007,2.979145978,9763
,,,,,,,,311,1.92926045,6738
,,,,,,,,505,33.66336634,6006
,,,,,,,,2050,85.31707317,3606
,,,,,,,,441,62.13151927,4478
,,,,,,,,1549,62.68560362,11636
,,,,,,,,570,59.64912281,4058
,,,,,,,,746,20.77747989,3714
,,,,,,,,801,4.244694132,3735
,,,,,,,,356,26.96629213,5038
