,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
No degree,18.3,23.4,19.2,19.8,22,19.9,17.5,22,20.7,16.9,15.5,16.3,27.4,50.7
Secondary school diploma,26.5,25,27.2,25.3,28.5,21.5,27.4,29.6,30.5,27.9,29.4,23.6,21.4,15.1
Apprenticeship or trades certificate,9.8,11.3,8.1,9.9,9.1,16.9,6,7.7,10.4,9.7,8.8,10.9,9.8,7.7
College or other non-university certificate,19.4,23.1,23.8,21.8,21.8,17.6,20.8,17.7,17.1,19.2,18.1,21.2,18.9,15
University below bachelor level,2.8,2.4,2.6,2.4,1.9,3.6,2.2,2.9,3.3,3,3.6,2.8,2.5,0.9
University at bachelor level or above,23.3,14.8,19.1,20.8,16.7,20.5,26,20.1,18,23.4,24.6,25.1,20,10.6
